0;-26;1008;630;70;-770
9;-33;1007;140;-1610;-280
12;-37;1001;-350;1400;-140
11;-38;997;0;-420;-490
2;-39;1005;-70;-1960;140
13;-44;1003;1120;-70;-980
11;-28;1011;1120;-140;-350
12;-31;1015;1120;350;-280
6;-34;1006;140;2240;-1750
6;-32;1008;420;-2030;-560
8;-40;1000;560;-1750;700
3;-34;1015;350;-840;-700
6;-36;1021;700;1190;-1050
8;-38;1012;-1190;630;-1540
12;-38;1028;2590;210;980
-2;-31;1007;1260;-420;70
8;-31;1016;840;1610;-70
0;-35;1009;1540;-560;-1050
10;-41;995;-140;-70;-630
0;-30;1004;1540;-560;-140
5;-34;1011;-1120;-3570;560
6;-35;1009;980;-490;-490
-2;-34;1001;140;-1890;-770
12;-35;1014;630;-2730;770
20;-37;1009;770;-700;-420
6;-31;1021;2030;-1400;210
18;-35;1015;2590;-630;1260
9;-33;1008;1050;-420;70
14;-36;1002;980;-70;70
3;-24;1013;280;-1260;350
1;-31;1011;210;-1680;-1890
21;-35;1009;-140;-630;-420
21;-39;1010;210;-490;-210
9;-32;1008;700;-70;-280
19;-39;991;-700;-770;-560
21;-35;1006;-1050;-840;-700
13;-35;1011;-70;-140;70
22;-41;1004;350;280;-770
32;-45;1005;-420;-1750;210
25;-44;1003;140;-1120;630
23;-40;992;3080;-2100;-560
9;-41;982;140;630;-280
19;-17;1016;2380;-4130;350
17;-34;1001;-4060;1260;-3640
13;-34;1002;1960;-980;-560
5;-35;1022;5950;-210;-770
23;-66;964;-3150;-3920;980
15;-35;991;4340;-5740;140
46;-14;997;11620;-3990;2170
49;54;1010;9800;-1680;2590
77;49;1025;-2240;-70;1960
71;57;1030;980;2450;1400
43;61;1021;-3850;-1120;350
47;46;1035;-3360;4550;-980
65;32;1002;2030;-3780;-1750
50;28;999;3570;3570;-1400
55;-22;1023;-18200;11760;9030
0;-75;1039;490;2310;6230
21;-23;1040;8540;-13090;-17920
-18;-23;994;-70;-1470;8190
-18;-53;1009;-2590;-4550;4620
1;-54;999;-3780;-4270;1190
1;-65;1006;-1750;4270;2310
4;-54;1009;-350;-2800;490
13;-53;994;-770;140;140
7;-58;1045;-2170;-4760;-1400
13;-76;1060;1540;1960;3640
7;-60;989;3360;4830;2380
-11;-17;987;5320;-1960;-1820
